       lS     MSdm     omega
1.20084    57.8631  8.38e-05
3.08683    25.2529  0.000991
6.08975    86.0208  0.000269
0.355254   25.1035  0.0531
5.11857    20.805   0.000797
7.74201    25.3999  0.00101
3.85149    67.7163  3.27e-05
5.04774    75.1784  0.000105
3.87943    51.6129  0.000153
0.629712   93.8126  0.0402
9.76206    73.3291  2.16e-05
7.24785    73.1512  3.72e-05
5.25929    76.5894  0.000114
3.25833    20.7153  0.00107
0.0685109  69.6232  0.141
3.2623     22.5161  0.00101
8.98902    73.9462  2.82e-05
0.0397635  25.5623  3.25
4.53687    48.7721  0.000217
3.51219    48.9331  0.00021
2.73181    72.0076  0.000197
0.595422   38.12    0.0106
5.48921    41.6284  0.000398
9.26324    97.9697  0.000301
7.38885    85.3771  0.000174
1.64312    99.3087  0.00919
1.07285    83.8282  0.00463
2.59752    81.8174  0.000314
0.836748   66.4606  0.000387
8.67776    93.4519  0.00025
4.64367    31.4775  0.000572
1.45829    63.3544  1.08e-05
8.76018    61.1968  5.69e-05
8.80393    23.4571  0.00128
8.73465    58.6073  0.000161
5.67825    69.3558  2.56e-05
4.0208     89.0955  0.000785
4.13182    48.3266  0.000219
7.8548     71.6757  2.38e-05
3.51105    43.2651  0.000348
5.60249    24.1968  0.000749
2.0608     34.4913  0.00123
3.34308    82.4339  0.000238
7.70461    27.9532  0.000941
0.388699   68.8231  0.00398
1.95932    97.0959  0.00568
5.96217    81.3669  5.53e-05
7.7084     44.2742  0.00054
4.35548    75.3847  0.000143
3.02496    46.4449  0.000302
1.47728    49.2308  0.000651
8.63045    96.3426  0.000309
9.50546    38.6771  0.000966
6.36994    84.6572  0.000216
2.87168    83.6328  0.000634
3.38586    92.6366  0.00145
2.84968    37.6898  0.000632
6.60087    45.5944  0.000398
3.01833    35.446   0.000662
8.65734    70.2767  1.43e-05
1.80451    30.8111  0.0019
3.60289    68.3765  4.64e-05
4.4921     34.7724  0.000505
6.72689    52.7054  0.000242
3.35764    53.9792  0.000107
1.77637    90.5374  0.00427
4.08818    81.5982  0.000122
3.17182    69.8948  9.13e-05
4.40903    54.9375  0.000104
6.02578    56.5576  0.000123
4.08457    83.43    0.000278
5.82399    75.7497  8.56e-05
8.41086    51.4463  0.000399
1.13125    61.476   3e-06
1.46846    88.4836  0.00521
5.9403     82.1033  6.87e-05
3.29484    20.8388  0.00105
6.58379    40.7628  0.000504
1.31366    83.4514  0.00262
0.585279   38.8138  0.0105
3.62326    92.6506  0.00127
4.68311    32.9708  0.000541
2.04726    35.477   0.00118
0.321397   75.2478  0.0212
8.4583     92.4857  0.000244
6.25977    89.7802  0.000353
1.08196    45.2751  0.0019
3.24235    33.7087  0.00066
9.53687    79.7464  2.14e-05
5.65651    51.1172  0.000218
3.53913    69.7337  7.08e-05
8.33798    27.7555  0.00106
8.80005    39.3157  0.000828
0.314601   21.846   0.0749
