        lS     MSdm       omega
7.06301     20.5356    0.00101
6.08153     47.7297    0.000312
9.63951     80.3205    1.84e-05
6.88108     33.1607    0.000702
7.69773     32.3264    0.000837
8.69843     76.814     4.39e-05
9.63929     82.0436    2.63e-05
8.93908     48.1981    0.000559
8.17281     56.6599    0.000208
7.76401     87.0479    0.000185
5.19792     63.8586    1.82e-06
6.77289     88.0496    0.000263
5.38966     29.8241    0.000625
9.94209     26.1855    0.00147
3.42834     40.271     0.000435
1.24831     55.5844    0.000226
1.39091     26.0888    0.00381
3.13028     99.0498    0.00261
7.99251     35.8696    0.000797
4.23619     71.5024    7.59e-05
5.83835     91.3383    0.000458
6.69234     45.4597    0.000409
3.24518     78.8772    0.000249
7.6001      28.0871    0.00092
5.39307     46.6563    0.000292
9.72988     41.5658    0.000904
1.39878     45.6851    0.00111
3.40147     71.3628    0.000113
0.435794    68.7521    0.00312
1.2032      47.348     0.00123
0.518431    59.1803    5.65e-05
7.11665     91.1213    0.000307
3.04434     94.3753    0.00202
1.06256     96.2137    0.0174
5.57921     84.5962    0.000277
5.23886     63.0773    4.91e-07
9.32517     34.1689    0.00108
9.76591     75.1565    2.91e-05
9.27954     35.0004    0.00104
8.4127      44.1191    0.000628
5.88024     53.9247    0.000172
0.321561    94.8315    0.157
0.0450383   64.2317    0.0285
2.30497     28.224     0.00133
5.51835     36.9104    0.000494
9.89082     92.9111    0.000186
6.44151     95.4688    0.000512
8.08989     74.4011    3.73e-05
0.18401     31.6184    0.141
1.2789      93.6124    0.0101
7.31027     73.106     3.63e-05
4.77142     26.9726    0.000664
6.98288     33.5588    0.000706
1.47784     29.001     0.00302
2.98827     70.6344    0.000123
1.13485     33.6519    0.00402
4.09601     52.6352    0.000137
4.20503     99.5034    0.00152
2.20409     88.6544    0.00241
4.28622     93.0966    0.000949
5.26806     96.2158    0.000795
3.56116     41.1304    0.000399
6.75563     84.1668    0.000156
8.99945     63.6781    4.96e-07
1.78625     97.839     0.00713
8.64679     74.4112    3.28e-05
1.31104     84.9818    0.00473
3.57209     82.1804    0.00019
5.03274     51.9872    0.000174
7.14222     79.5547    4.19e-05
8.62453     61.1349    5.77e-05
7.7905      37.2416    0.000732
6.91353     28.0919    0.000813
0.762149    93.1906    0.0266
6.04095     44.2021    0.000383
7.50728     93.6236    0.000334
1.5738      41.1936    0.00133
2.86137     23.4795    0.00106
6.26756     82.8614    8.52e-05
9.19552     70.2965    1.28e-05
3.06958     40.1927    0.000491
3.92157     47.7765    0.000229
6.97489     73.8935    4.57e-05
8.1744      62.0767    1.7e-05
2.51427     26.1576    0.00123
7.85673     52.815     0.000313
1.99218     92.7173    0.00405
4.09225     31.661     0.000589
0.139134    34.1321    0.212
2.49451     37.6876    0.000707
2.43049     88.468     0.00197
5.64987     27.347     0.00069
7.37304     23.5124    0.000986
4.28386     44.3749    0.000301
9.74442     82.3111    2.83e-05
6.22124     26.9207    0.00075
5.48791     72.369     5.49e-05
1.46377     49.2905    0.000657
2.19265     26.9       0.00155
7.41183     48.2722    0.000404
0.878121    84.9088    0.0102
3.19454     70.3131    0.0001
8.18674     41.1417    0.000684
3.40528     76.4591    0.00026
5.88765     75.9269    8.57e-05
1.92547     66.8867    9.19e-05
0.895531    83.2052    0.00465
8.35267     35.7476    0.000857
8.78096     83.8303    7.88e-05
6.61457     79.511     4.97e-05
8.84444     93.7245    0.000245
3.62153     74.7516    0.000187
2.36769     53.685     0.000144
3.22029     30.6695    0.000762
9.32956     86.729     0.000126
5.47581     69.5804    2.91e-05
3.07452     59.3024    2.53e-05
3.31083     36.4209    0.000563
5.92597     24.6112    0.000767
9.9434      31.6033    0.00129
8.26901     64.2554    1.11e-06
9.44454     89.113     0.000151
2.03604     38.2672    0.001
2.30921     93.1593    0.00315
5.66813     96.8195    0.000719
1.99551     96.7904    0.00537
7.05785     79.4376    4.55e-05
8.74432     49.3219    0.0005
3.53733     75.5309    0.000218
9.63361     23.3425    0.00148
4.0858      74.2105    0.000136
4.18479     72.5949    9.71e-05
8.75285     70.3499    1.43e-05
2.87715     82.25      0.000297
6.97141     41.4103    0.000529
2.79969     34.7186    0.000753
2.12402     49.7025    0.000305
1.80878     32.9294    0.00171
1.17254     54.5158    0.000357
0.840276    60.9009    6.76e-06
1.58001     65.2523    5.98e-05
8.3875      74.6459    3.62e-05
6.23723     45.6151    0.000368
7.5296      58.5479    0.000123
3.5195      43.5769    0.000339
